,Comp_name,year,firm_size,bank_br,fin_br,total_br,treated_i,control_i,post,did,log_bank_br,log_total_br,log_fin_br
2688,A G R Steel Strips Pvt. Ltd.,2013,10.71,89.84,,91.9,0,1,0,0,4.5090997172373575,4.520701029361642,
2689,A G R Steel Strips Pvt. Ltd.,2014,11.09,89.67,,91.43,0,1,0,0,4.507226541657965,4.515573652176335,
2691,A G R Steel Strips Pvt. Ltd.,2016,11.73,119.4,,120.55,0,1,1,0,4.79081953287472,4.79206460462718,
2692,A G R Steel Strips Pvt. Ltd.,2017,12.13,117.34,,118.96,0,1,1,0,4.773561837248548,4.778787302151899,
2693,A G R Steel Strips Pvt. Ltd.,2018,13.42,118.18,0.28,119.61,0,1,1,0,4.780634955318833,4.784236450061373,-1.2729656758128873
2694,A G R Steel Strips Pvt. Ltd.,2019,13.86,113.78,0.06,113.84,0,1,1,0,4.743017252680216,4.734793953781597,-2.8134107167600364
2695,A G R Steel Strips Pvt. Ltd.,2020,14.07,89.08,,93.26,0,1,1,0,4.50069816439138,4.535391291380175,
4920,A P Paper Mills Ltd.,2005,3.23,0.54,,0.84,0,1,0,0,0.43178241642553783,-0.1743533871447778,
4921,A P Paper Mills Ltd.,2006,3.23,2.48,,2.86,0,1,0,0,1.247032293786383,1.0508216248317612,
4922,A P Paper Mills Ltd.,2007,3.27,4.39,,4.67,0,1,0,0,1.6845453849209058,1.541159071680806,
4923,A P Paper Mills Ltd.,2008,9.37,5.16,,6.07,0,1,0,0,1.8180767775454285,1.803358605071407,
4924,A P Paper Mills Ltd.,2009,11.11,6.25,,7.85,0,1,0,0,1.9810014688665833,2.060513531794317,
4925,A P Paper Mills Ltd.,2010,11.65,6.81,,8.91,0,1,0,0,2.0554049638515948,2.187174241482718,
4926,A P Paper Mills Ltd.,2011,13.24,2.59,,9.2,0,1,0,0,1.2781522025001875,2.2192034840549946,
4927,A P Paper Mills Ltd.,2012,13.64,3.19,,8.78,0,1,0,0,1.4327007339340463,2.172476407647025,
4928,A P Paper Mills Ltd.,2013,14.36,7.21,,7.73,0,1,0,0,2.105352923464337,2.0451088625993306,
4929,A P Paper Mills Ltd.,2014,12.44,2.15,,4.93,0,1,0,0,1.1474024528375417,1.5953389880545987,
4930,A P Paper Mills Ltd.,2015,12.83,4.19,,6.73,0,1,0,0,1.6467336971777973,1.9065751436566365,
4931,A P Paper Mills Ltd.,2016,13.51,6.38,0.3,11.13,0,1,1,0,1.998773638612381,2.4096441652874536,-1.2039728043259361
4932,A P Paper Mills Ltd.,2017,19.67,6.96,,12.93,0,1,1,0,2.0744289998562917,2.559550192783766,
4933,A P Paper Mills Ltd.,2018,23.18,8.51,,15.68,0,1,1,0,2.252343876557299,2.7523860149222616,
4934,A P Paper Mills Ltd.,2019,23.91,5.2,,12.91,0,1,1,0,1.824549292051046,2.558002204858551,
4935,A P Paper Mills Ltd.,2020,26.79,4.22,3.13,19.23,0,1,1,0,1.6524974018945473,2.9564715596006885,1.1410330045520618
4936,A P Paper Mills Ltd.,2021,26.79,8.64,,20.07,0,1,1,0,2.265921108622454,2.9992261628082466,
4937,A P Paper Mills Ltd.,2022,36.36,6.42,,19.11,0,1,1,0,2.004179057179289,2.950211758252182,
4938,A P Paper Mills Ltd.,2023,40.77,9.42,,18.65,0,1,1,0,2.343727036325221,2.9258461460898246,
4939,A P Paper Mills Ltd.,2024,50.45,8.96,,20.5,0,1,1,0,2.298577071596507,3.0204248861443626,
6447,A T E Enterprises Pvt. Ltd.,2012,2.64,0.06,,9.07,0,1,0,0,0.058268908123975775,2.2049722641270453,
6448,A T E Enterprises Pvt. Ltd.,2013,9.8,17.38,,17.38,0,1,0,0,2.911263116927541,2.8553201198372458,
6449,A T E Enterprises Pvt. Ltd.,2014,11.82,19.12,,38.92,0,1,0,0,3.0017143452315387,3.6615082573178044,
6450,A T E Enterprises Pvt. Ltd.,2015,13.53,16.13,,40.54,0,1,0,0,2.8408313123360287,3.702289141023854,
6451,A T E Enterprises Pvt. Ltd.,2016,14.28,13.97,,34.94,0,1,1,0,2.706048198431537,3.5536323047059106,
6452,A T E Enterprises Pvt. Ltd.,2017,16.73,8.56,,28.96,0,1,1,0,2.25758772706331,3.365915567517516,
6453,A T E Enterprises Pvt. Ltd.,2018,17.18,7.17,,25.79,0,1,1,0,2.1004689088719113,3.2499868198932536,
6454,A T E Enterprises Pvt. Ltd.,2019,18.19,7.21,,18.85,0,1,1,0,2.105352923464337,2.93651291389402,
6455,A T E Enterprises Pvt. Ltd.,2020,19.06,14.44,,15.44,0,1,1,0,2.73696154459663,2.73696154459663,
6456,A T E Enterprises Pvt. Ltd.,2021,20.65,12.15,,14.58,0,1,1,0,2.5764217586237734,2.6796507265805123,
6457,A T E Enterprises Pvt. Ltd.,2022,22.41,11.35,,11.35,0,1,1,0,2.513656063073986,2.4292177439274116,
6458,A T E Enterprises Pvt. Ltd.,2023,20.04,10.98,,10.98,0,1,1,0,2.4832385926873033,2.3960754360813845,
6459,A T E Enterprises Pvt. Ltd.,2024,20.47,9.02,,13.02,0,1,1,0,2.3045830956567186,2.5664866367804233,
6808,A V I Ansh Textile Ltd.,2013,10.58,6.93,,6.93,0,1,0,0,2.0706530356467567,1.9358598132018119,
6809,A V I Ansh Textile Ltd.,2014,13.08,6.28,,7.68,0,1,0,0,1.9851308622085946,2.038619547159581,
6810,A V I Ansh Textile Ltd.,2015,13.52,1.46,,7.01,0,1,0,0,0.9001613499442714,1.9473377010464987,
6811,A V I Ansh Textile Ltd.,2016,13.35,1.43,,6.42,0,1,1,0,0.8878912573524571,1.8594181177018698,
6812,A V I Ansh Textile Ltd.,2017,18.23,7.55,,16.13,0,1,1,0,2.145931282948669,2.7806808921371173,
6813,A V I Ansh Textile Ltd.,2018,24.23,9.04,,29.09,0,1,1,0,2.306577114263583,3.3703944725071104,
6814,A V I Ansh Textile Ltd.,2019,24.47,8.15,,31.56,0,1,1,0,2.21375387928743,3.4518904959776733,
6815,A V I Ansh Textile Ltd.,2020,24.82,15.66,6.55,33.77,0,1,1,0,2.8130106367386967,3.5195728343974766,1.8794650496471605
6816,A V I Ansh Textile Ltd.,2021,25.86,15.47,0.55,26.59,0,1,1,0,2.801540544189549,3.2805352052549286,-0.5978370007556204
6817,A V I Ansh Textile Ltd.,2022,27.36,20.69,0.55,31.95,0,1,1,0,3.076851324838783,3.4641721808235437,-0.5978370007556204
6818,A V I Ansh Textile Ltd.,2023,30.46,33.32,0.14,44.83,0,1,1,0,3.5357282746197614,3.802877558167348,-1.9661128563728327
6819,A V I Ansh Textile Ltd.,2024,32.27,17.27,0.11,25.97,0,1,1,0,2.9052603703899154,3.256942025674657,-2.2072749131897207
7300,A V Thomas & Co. Ltd.,2005,5.55,0.92,,3.43,0,1,0,0,0.6523251860396903,1.2325602611778486,
7313,A V Thomas & Co. Ltd.,2018,19.16,7.5,,7.52,0,1,1,0,2.1400661634962708,2.017566137961748,
7314,A V Thomas & Co. Ltd.,2019,31.67,9.68,,20.54,0,1,1,0,2.3683728335320486,3.0223742045004123,
7315,A V Thomas & Co. Ltd.,2020,17.73,41.94,,43.58,0,1,1,0,3.759803792450635,3.774598329516474,
7316,A V Thomas & Co. Ltd.,2021,19.4,5.85,,8.82,0,1,1,0,1.9242486522741338,2.1770218700187,
7317,A V Thomas & Co. Ltd.,2022,21.01,3.9,,12.59,0,1,1,0,1.589235205116581,2.532902848056256,
7319,A V Thomas & Co. Ltd.,2024,23.72,26.87,,32.63,0,1,1,0,3.327550841493857,3.4852321106052293,
7986,Aachi Spices & Foods Pvt. Ltd.,2011,,2.23,,4.21,0,1,0,0,1.172482137234565,1.43746264769429,
7987,Aachi Spices & Foods Pvt. Ltd.,2012,2.44,4.47,,7.03,0,1,0,0,1.6992786164338898,1.9501867058225735,
7988,Aachi Spices & Foods Pvt. Ltd.,2013,7.05,9.24,,11.8,0,1,0,0,2.3263016196113617,2.468099531471619,
7989,Aachi Spices & Foods Pvt. Ltd.,2014,10.02,13.29,,21.24,0,1,0,0,2.659559991941776,3.055886196373738,
7990,Aachi Spices & Foods Pvt. Ltd.,2015,12.17,13.23,,21.18,0,1,0,0,2.655352412101761,3.0530573401732606,
7991,Aachi Spices & Foods Pvt. Ltd.,2016,14.98,15.4,,29.8,0,1,1,0,2.797281334830153,3.3945083935113587,
7992,Aachi Spices & Foods Pvt. Ltd.,2017,18.17,14.34,,32.5,0,1,1,0,2.73046379593911,3.481240089335692,
7993,Aachi Spices & Foods Pvt. Ltd.,2018,20.07,38.4,,58.19,0,1,1,0,3.673765816303888,4.063713518668578,
7994,Aachi Spices & Foods Pvt. Ltd.,2019,20.81,35.88,,35.88,0,1,1,0,3.607669398688393,3.5801800371905954,
7995,Aachi Spices & Foods Pvt. Ltd.,2020,22.97,34.48,,41.03,0,1,1,0,3.5689691574413787,3.714303506454095,
7996,Aachi Spices & Foods Pvt. Ltd.,2021,25.47,49.4,,55.95,0,1,1,0,3.919991175077323,4.024458434757935,
7997,Aachi Spices & Foods Pvt. Ltd.,2022,26.02,62.37,,62.37,0,1,1,0,4.148990563335426,4.1330843905380314,
